Date,Stock,Predicted_Return,Rank
2025-01-23,AIAENG,-0.2112107276916504,335
2025-01-23,MAHSEAMLES,-0.21121074259281158,336
2025-01-23,CONCOR,-0.21114040911197662,337
2025-01-23,JBMA,-0.20980986952781677,338
2025-01-23,IIFL,-0.21363693475723267,339
2025-01-23,CHOLAHLDNG,-0.21363691985607147,340
2025-01-23,ROUTE,-0.2068425714969635,341
2025-01-23,GODFRYPHLP,-0.2098681628704071,342
2025-01-23,M&M,-0.20980986952781677,343
2025-01-23,BHEL,-0.2112107276916504,344
2025-01-23,TATAELXSI,-0.2068425714969635,345
2025-01-23,PATANJALI,-0.2098681628704071,346
2025-01-23,SYNGENE,-0.21154344081878662,347
2025-01-23,JINDALSAW,-0.21121074259281158,348
2025-01-23,ASAHIINDIA,-0.20980986952781677,349
2025-01-23,INDIANB,-0.21363693475723267,350
2025-01-23,KSB,-0.21121074259281158,351
2025-01-23,ASTERDM,-0.21154342591762543,352
2025-01-23,HAVELLS,-0.21347245573997498,353
2025-01-23,APOLLOTYRE,-0.20980986952781677,354
2025-01-23,ASTRAL,-0.2112107276916504,355
2025-01-23,ASTRAZEN,-0.20584635436534882,356
2025-01-23,APOLLOHOSP,-0.21154342591762543,357
2025-01-23,SUZLON,-0.21121074259281158,358
2025-01-23,ALKEM,-0.21154342591762543,359
2025-01-23,APLLTD,-0.21154342591762543,360
2025-01-23,BANDHANBNK,-0.21363693475723267,361
2025-01-23,SUMICHEM,-0.21159571409225464,362
2025-01-23,SUNDARMFIN,-0.21363691985607147,363
2025-01-23,SUNDRMFAST,-0.20980986952781677,364
2025-01-23,HDFCBANK,-0.21363693475723267,365
2025-01-23,LT,-0.2068425714969635,366
2025-01-23,J&KBANK,-0.21363693475723267,367
2025-01-23,ABB,-0.2112107276916504,368
2025-01-23,SUVENPHAR,-0.21154344081878662,369
2025-01-23,KPRMILL,-0.20318537950515747,370
2025-01-23,LTF,-0.21363691985607147,371
2025-01-23,BANKBARODA,-0.21363693475723267,372
2025-01-23,IPCALAB,-0.21154342591762543,373
2025-01-23,BALKRISIND,-0.20980986952781677,374
2025-01-23,PIIND,-0.21159571409225464,375
2025-01-23,GRSE,-0.2112107276916504,376
2025-01-23,BALAMINES,-0.21159571409225464,377
2025-01-23,NAVINFLUOR,-0.21159571409225464,378
2025-01-23,POWERGRID,-0.2068425714969635,379
2025-01-23,SHRIRAMFIN,-0.21363691985607147,380
2025-01-23,PNCINFRA,-0.2068425714969635,381
2025-01-23,SBICARD,-0.21363691985607147,382
2025-01-23,HCLTECH,-0.2068425714969635,383
2025-01-23,NBCC,-0.2068425714969635,384
2025-01-23,BAJAJFINSV,-0.21363693475723267,385
2025-01-23,LINDEINDIA,-0.21159571409225464,386
2025-01-23,NAM-INDIA,-0.21363691985607147,387
2025-01-23,LALPATHLAB,-0.21154344081878662,388
2025-01-23,CLEAN,-0.21159571409225464,389
2025-01-23,NAUKRI,-0.2068425714969635,390
2025-01-23,ESCORTS,-0.2112107276916504,391
2025-01-23,POLYMED,-0.21154344081878662,392
2025-01-23,FSL,-0.21114039421081543,393
2025-01-23,IDEA,-0.2068425714969635,394
2025-01-23,DIVISLAB,-0.21154344081878662,395
2025-01-23,AJANTPHARM,-0.21154342591762543,396
2025-01-23,HINDALCO,-0.2068425714969635,397
2025-01-23,ENDURANCE,-0.20980986952781677,398
2025-01-23,ELGIEQUIP,-0.2112107276916504,399
2025-01-23,EIHOTEL,-0.2068425714969635,400
2025-01-23,EICHERMOT,-0.20980986952781677,401
